-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-3,11,11,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-3,11,11,9,10,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-3,13,8,9,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-3,-3,8,5,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3
-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1
-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1
-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1
-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1
-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,-3,-3,-3
-3,-3,-3,-3,-3,-3,1,1,1,1,1,4,4,4,4
-3,-3,-3,-3,-3,-3,1,1,1,1,-3,7,7,0,4
-3,-3,-3,-3,-3,-3,1,1,1,1,-3,7,7,7,0
-3,-3,-3,-3,-3,-3,1,1,1,1,-3,7,7,7,7
